sra	bioproject	biosample	DOI	platform	read_length	strategy	stranded	organism	accession	host	host_accession	tissue	hpi	plant_tissue	treatment	sample_material	notes	
SRR10015823	 PRJNA561716	SAMN12627204	https://doi.org/10.1038/s41598-020-70315-4	ILLUMINA	50	SE	unstranded	Sclerotinia sclerotiorum		Helianthus annuus	RK416	lesion	192	floret				
SRR10015828	 PRJNA561716	SAMN12627170	https://doi.org/10.1038/s41598-020-70315-4	ILLUMINA	50	SE	unstranded	Sclerotinia sclerotiorum		Helianthus annuus	RK416	lesion	192	floret				
SRR10015830	 PRJNA561716	SAMN12627172	https://doi.org/10.1038/s41598-020-70315-4	ILLUMINA	50	SE	unstranded	Sclerotinia sclerotiorum		Helianthus annuus	RK416	lesion	192	floret				
SRR10015867	 PRJNA561716	SAMN12627206	https://doi.org/10.1038/s41598-020-70315-4	ILLUMINA	50	SE	unstranded	Sclerotinia sclerotiorum		Helianthus annuus	RK416	lesion	192	floret				
SRR1582469	PRJNA261444	SAMN03074149	https://doi.org/10.1128/mSphere.00615-18	ILLUMINA	150	PE		Sclerotinia sclerotiorum	Scl02-05	in vitro	PDA	periphery	12	stem				
SRR1582470	PRJNA261444	SAMN03074149	https://doi.org/10.1128/mSphere.00615-18	ILLUMINA	150	PE		Sclerotinia sclerotiorum	Scl02-05	in vitro	PDA	periphery	12	stem				
SRR1582471	PRJNA261444	SAMN03074149	https://doi.org/10.1128/mSphere.00615-18	ILLUMINA	150	PE		Sclerotinia sclerotiorum	Scl02-05	in vitro	PDA	periphery	24	stem				
SRR1582472	PRJNA261444	SAMN03074149	https://doi.org/10.1128/mSphere.00615-18	ILLUMINA	150	PE		Sclerotinia sclerotiorum	Scl02-05	in vitro	PDA	periphery	24	stem				
SRR1582473	PRJNA261444	SAMN03074149	https://doi.org/10.1128/mSphere.00615-18	ILLUMINA	150	PE		Sclerotinia sclerotiorum	Scl02-05	in vitro	PDA	periphery	48	stem				
SRR1582474	PRJNA261444	SAMN03074149	https://doi.org/10.1128/mSphere.00615-18	ILLUMINA	150	PE		Sclerotinia sclerotiorum	Scl02-05	in vitro	PDA	periphery	48	stem				
SRR1582088	PRJNA261444	SAMN03074087	https://doi.org/10.1128/mSphere.00615-18	ILLUMINA	150	PE		Sclerotinia sclerotiorum	Scl02-05	Pisum sativum	Lifter	lesion	12	stem				
SRR1582089	PRJNA261444	SAMN03074087	https://doi.org/10.1128/mSphere.00615-18	ILLUMINA	150	PE		Sclerotinia sclerotiorum	Scl02-05	Pisum sativum	Lifter	lesion	12	stem				
SRR1582090	PRJNA261444	SAMN03074087	https://doi.org/10.1128/mSphere.00615-18	ILLUMINA	150	PE		Sclerotinia sclerotiorum	Scl02-05	Pisum sativum	Lifter	lesion	24	stem				
SRR1582091	PRJNA261444	SAMN03074087	https://doi.org/10.1128/mSphere.00615-18	ILLUMINA	150	PE		Sclerotinia sclerotiorum	Scl02-05	Pisum sativum	Lifter	lesion	24	stem				
SRR1582133	PRJNA261444	SAMN03074087	https://doi.org/10.1128/mSphere.00615-18	ILLUMINA	150	PE		Sclerotinia sclerotiorum	Scl02-05	Pisum sativum	Lifter	lesion	48	stem				
SRR1582134	PRJNA261444	SAMN03074087	https://doi.org/10.1128/mSphere.00615-18	ILLUMINA	150	PE		Sclerotinia sclerotiorum	Scl02-05	Pisum sativum	Lifter	lesion	48	stem				
SRR1582140	PRJNA261444	SAMN03074112	https://doi.org/10.1128/mSphere.00615-18	ILLUMINA	150	PE		Sclerotinia sclerotiorum	Scl02-05	Pisum sativum	PI240515	lesion	12	stem				
SRR1582148	PRJNA261444	SAMN03074112	https://doi.org/10.1128/mSphere.00615-18	ILLUMINA	150	PE		Sclerotinia sclerotiorum	Scl02-05	Pisum sativum	PI240515	lesion	12	stem				
SRR1582200	PRJNA261444	SAMN03074112	https://doi.org/10.1128/mSphere.00615-18	ILLUMINA	150	PE		Sclerotinia sclerotiorum	Scl02-05	Pisum sativum	PI240515	lesion	24	stem				
SRR1582201	PRJNA261444	SAMN03074112	https://doi.org/10.1128/mSphere.00615-18	ILLUMINA	150	PE		Sclerotinia sclerotiorum	Scl02-05	Pisum sativum	PI240515	lesion	24	stem				
SRR1582461	PRJNA261444	SAMN03074112	https://doi.org/10.1128/mSphere.00615-18	ILLUMINA	150	PE		Sclerotinia sclerotiorum	Scl02-05	Pisum sativum	PI240515	lesion	48	stem				
SRR1582462	PRJNA261444	SAMN03074112	https://doi.org/10.1128/mSphere.00615-18	ILLUMINA	150	PE		Sclerotinia sclerotiorum	Scl02-05	Pisum sativum	PI240515	lesion	48	stem				
SRR1772519	PRJNA273646	SAMN03295002	https://doi.org/10.1038/srep15565	ILLUMINA	35	SE		Sclerotinia sclerotiorum	Ep-1PNA367	Arabidopsis thaliana	Col-0	cheese_cloth_colony	12	leaf				
SRR1772517	PRJNA273646	SAMN03295006	https://doi.org/10.1038/srep15565	ILLUMINA	35	SE		Sclerotinia sclerotiorum	Ep-1PNA367	in vitro	PDA	carpogenic_sclerotia						
SRR1772518	PRJNA273646	SAMN03295005	https://doi.org/10.1038/srep15565	ILLUMINA	35	SE		Sclerotinia sclerotiorum	Ep-1PNA367	in vitro	PDA	early_apothecial_colony						
SRR1772516	PRJNA273646	SAMN03295004	https://doi.org/10.1038/srep15565	ILLUMINA	35	SE		Sclerotinia sclerotiorum	Ep-1PNA367	in vitro	PDA	mycelliogenic_sclerotia						
SRR1772515	PRJNA273646	SAMN03295001	https://doi.org/10.1038/srep15565	ILLUMINA	35	SE		Sclerotinia sclerotiorum	Ep-1PNA367	in vitro	PDA + Cellophane	cellophane_colony	60					
SRR1772514	PRJNA273646	SAMN03295003	https://doi.org/10.1038/srep15565	ILLUMINA	35	SE		Sclerotinia sclerotiorum	Ep-1PNA367	in vitro	PDA + Cellophane	cellophane_colony	132					
SRR1915972	PRJNA278304	SAMN03417212	https://doi.org/10.1016/j.gene.2016.06.003	ILLUMINA	100	PE		Sclerotinia sclerotiorum		Brassica napus	DH12075	lesion	24	leaf				
SRR1915973	PRJNA278304	SAMN03417213	https://doi.org/10.1016/j.gene.2016.06.003	ILLUMINA	100	PE		Sclerotinia sclerotiorum		Brassica napus	DH12075	lesion	24	leaf				
SRR1915977	PRJNA278304	SAMN03417214	https://doi.org/10.1016/j.gene.2016.06.003	ILLUMINA	100	PE		Sclerotinia sclerotiorum		Brassica napus	DH12075	lesion	24	leaf				
SRR1915981	PRJNA278304	SAMN03417218	https://doi.org/10.1016/j.gene.2016.06.003	ILLUMINA	100	PE		Sclerotinia sclerotiorum		Brassica napus	DH12075	lesion	48	leaf				
SRR1915982	PRJNA278304	SAMN03417219	https://doi.org/10.1016/j.gene.2016.06.003	ILLUMINA	100	PE		Sclerotinia sclerotiorum		Brassica napus	DH12075	lesion	48	leaf				
SRR1915983	PRJNA278304	SAMN03417220	https://doi.org/10.1016/j.gene.2016.06.003	ILLUMINA	100	PE		Sclerotinia sclerotiorum		Brassica napus	DH12075	lesion	48	leaf				
SRR1975577	PRJNA281244	SAMN03486595	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium			Trichoderma hamatum GD12 co-culture		SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975578	PRJNA281244	SAMN03486596	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium			Trichoderma hamatum GD12 co-culture		SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975579	PRJNA281244	SAMN03486597	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium			Trichoderma hamatum GD12 co-culture		SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975592	PRJNA281244	SAMN03486613	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium			Trichoderma hamatum GD12 co-culture		SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975593	PRJNA281244	SAMN03486614	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium			Trichoderma hamatum GD12 co-culture		SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975594	PRJNA281244	SAMN03486615	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium			Trichoderma hamatum GD12 co-culture		SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975600	PRJNA281244	SAMN03486621	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium			Trichoderma hamatum GD12 co-culture		SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975601	PRJNA281244	SAMN03486622	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium			Trichoderma hamatum GD12 co-culture		SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975602	PRJNA281244	SAMN03486623	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium			Trichoderma hamatum GD12 co-culture		SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975608	PRJNA281244	SAMN03486629	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium			Trichoderma hamatum GD12 co-culture		SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975609	PRJNA281244	SAMN03486630	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium			Trichoderma hamatum GD12 co-culture		SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975610	PRJNA281244	SAMN03486631	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium			Trichoderma hamatum GD12 co-culture		SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975617	PRJNA281244	SAMN03486638	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium			Trichoderma hamatum GD12 co-culture		SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975618	PRJNA281244	SAMN03486639	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium			Trichoderma hamatum GD12 co-culture		SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975619	PRJNA281244	SAMN03486640	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium			Trichoderma hamatum GD12 co-culture		SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975573	PRJNA281244	SAMN03486609	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium					SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975580	PRJNA281244	SAMN03486598	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium					SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975581	PRJNA281244	SAMN03486599	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium					SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975582	PRJNA281244	SAMN03486600	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium					SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975586	PRJNA281244	SAMN03486604	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium					SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975587	PRJNA281244	SAMN03486605	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium					SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975588	PRJNA281244	SAMN03486606	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium					SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975589	PRJNA281244	SAMN03486607	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium					SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975590	PRJNA281244	SAMN03486608	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium					SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975595	PRJNA281244	SAMN03486616	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium					SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975596	PRJNA281244	SAMN03486617	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium					SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975597	PRJNA281244	SAMN03486618	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium					SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975603	PRJNA281244	SAMN03486624	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium					SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975604	PRJNA281244	SAMN03486625	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium					SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975605	PRJNA281244	SAMN03486626	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium					SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975611	PRJNA281244	SAMN03486632	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium					SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975612	PRJNA281244	SAMN03486633	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium					SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975613	PRJNA281244	SAMN03486634	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium					SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975620	PRJNA281244	SAMN03486641	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium					SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975621	PRJNA281244	SAMN03486642	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium					SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR1975622	PRJNA281244	SAMN03486643	https://doi.org/10.1111/mpp.12429	ILLUMINA	100	PE		Sclerotinia sclerotiorum	M448	in vitro	peat	mycellium					SRA is missing time-point information. Table S2 lists read counts https://bsppjournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fmpp.12429&file=mpp12429-sup-0002-suppinfo2.docx	
SRR3537153	PRJNA321917	SAMN05006661	https://doi.org/10.1093/jxb/erx338	ILLUMINA	100	SE		Sclerotinia sclerotiorum		Brassica napus	Westar (Susceptible)		24					Sclerotinia samples are mixed spores from field
SRR3537154	PRJNA321917	SAMN05006662	https://doi.org/10.1093/jxb/erx338	ILLUMINA	100	SE		Sclerotinia sclerotiorum		Brassica napus	Westar (Susceptible)		24					Sclerotinia samples are mixed spores from field
SRR3537155	PRJNA321917	SAMN05006663	https://doi.org/10.1093/jxb/erx338	ILLUMINA	100	SE		Sclerotinia sclerotiorum		Brassica napus	Westar (Susceptible)		24					Sclerotinia samples are mixed spores from field
SRR3537159	PRJNA321917	SAMN05006667	https://doi.org/10.1093/jxb/erx338	ILLUMINA	100	SE		Sclerotinia sclerotiorum		Brassica napus	Zhongyou 821 (Resistant)		24					Sclerotinia samples are mixed spores from field
SRR3537160	PRJNA321917	SAMN05006668	https://doi.org/10.1093/jxb/erx338	ILLUMINA	100	SE		Sclerotinia sclerotiorum		Brassica napus	Zhongyou 821 (Resistant)		24					Sclerotinia samples are mixed spores from field
SRR3537161	PRJNA321917	SAMN05006669	https://doi.org/10.1093/jxb/erx338	ILLUMINA	100	SE		Sclerotinia sclerotiorum		Brassica napus	Zhongyou 821 (Resistant)		24					Sclerotinia samples are mixed spores from field
SRR3734860	PRJNA327437	SAMN05335377	https://doi.org/10.1186/s12864-017-3642-5	ILLUMINA	75	PE		Sclerotinia sclerotiorum	1980	Brassica napus	DH12705	lesion	1	leaf		hyphae and area of leaf under hyphae		
SRR3734867	PRJNA327437	SAMN05335371	https://doi.org/10.1186/s12864-017-3642-5	ILLUMINA	75	PE		Sclerotinia sclerotiorum	1980	Brassica napus	DH12705	lesion	1	leaf		hyphae and area of leaf under hyphae		
SRR3734874	PRJNA327437	SAMN05335363	https://doi.org/10.1186/s12864-017-3642-5	ILLUMINA	75	PE		Sclerotinia sclerotiorum	1980	Brassica napus	DH12705	lesion	1	leaf		hyphae and area of leaf under hyphae		
SRR3734861	PRJNA327437	SAMN05335360	https://doi.org/10.1186/s12864-017-3642-5	ILLUMINA	75	PE		Sclerotinia sclerotiorum	1980	Brassica napus	DH12705	lesion	3	leaf		hyphae and area of leaf under hyphae		
SRR3734868	PRJNA327437	SAMN05335372	https://doi.org/10.1186/s12864-017-3642-5	ILLUMINA	75	PE		Sclerotinia sclerotiorum	1980	Brassica napus	DH12705	lesion	3	leaf		hyphae and area of leaf under hyphae		
SRR3734875	PRJNA327437	SAMN05335364	https://doi.org/10.1186/s12864-017-3642-5	ILLUMINA	75	PE		Sclerotinia sclerotiorum	1980	Brassica napus	DH12705	lesion	3	leaf		hyphae and area of leaf under hyphae		
SRR3734862	PRJNA327437	SAMN05335378	https://doi.org/10.1186/s12864-017-3642-5	ILLUMINA	75	PE		Sclerotinia sclerotiorum	1980	Brassica napus	DH12705	lesion	6	leaf		hyphae and area of leaf under hyphae		
SRR3734869	PRJNA327437	SAMN05335373	https://doi.org/10.1186/s12864-017-3642-5	ILLUMINA	75	PE		Sclerotinia sclerotiorum	1980	Brassica napus	DH12705	lesion	6	leaf		hyphae and area of leaf under hyphae		
SRR3734876	PRJNA327437	SAMN05335365	https://doi.org/10.1186/s12864-017-3642-5	ILLUMINA	75	PE		Sclerotinia sclerotiorum	1980	Brassica napus	DH12705	lesion	6	leaf		hyphae and area of leaf under hyphae		
SRR3734863	PRJNA327437	SAMN05335358	https://doi.org/10.1186/s12864-017-3642-5	ILLUMINA	75	PE		Sclerotinia sclerotiorum	1980	Brassica napus	DH12705	lesion	12	leaf		hyphae and area of leaf under hyphae		
SRR3734870	PRJNA327437	SAMN05335374	https://doi.org/10.1186/s12864-017-3642-5	ILLUMINA	75	PE		Sclerotinia sclerotiorum	1980	Brassica napus	DH12705	lesion	12	leaf		hyphae and area of leaf under hyphae		
SRR3734877	PRJNA327437	SAMN05335366	https://doi.org/10.1186/s12864-017-3642-5	ILLUMINA	75	PE		Sclerotinia sclerotiorum	1980	Brassica napus	DH12705	lesion	12	leaf		hyphae and area of leaf under hyphae		
SRR3734864	PRJNA327437	SAMN05335359	https://doi.org/10.1186/s12864-017-3642-5	ILLUMINA	75	PE		Sclerotinia sclerotiorum	1980	Brassica napus	DH12705	lesion	24	leaf		hyphae and area of leaf under hyphae		
SRR3734871	PRJNA327437	SAMN05335375	https://doi.org/10.1186/s12864-017-3642-5	ILLUMINA	75	PE		Sclerotinia sclerotiorum	1980	Brassica napus	DH12705	lesion	24	leaf		hyphae and area of leaf under hyphae		
